X,Y,OBJECTID,NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-115.0471492,36.04389473,55004,320000100608,3200001,Nevada State High School Henderson,32,233 N. Stephanie St.,Henderson,NV,89074,32,32003,Clark County,11,36.0439,-115.047161,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3201,32029,32005,2024-2025
-119.764124,39.44214771,55005,320000100731,3200001,Nevada Connections Academy,32,555 Double Eagle Court Suite 1000,Reno,NV,89521,32,32031,Washoe County,11,39.442153,-119.764137,39900,"Reno, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32026,32016,2024-2025
-115.1201712,36.03267973,55006,320000100734,3200001,Nevada Virtual Charter School,32,8645 S. Eastern Ave. Suite 100,Las Vegas,NV,89123,32,32003,Clark County,12,36.032685,-115.120183,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3203,32021,32012,2024-2025
-115.0932892,35.99173474,55007,320000100742,3200001,Coral Academy Sandy Ridge,32,1051 Sandy Ridge Ave,Henderson,NV,89052,32,32003,Clark County,11,35.99174,-115.093301,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3201,32022,32005,2024-2025
-115.2523092,36.11553473,55008,320000100751,3200001,Beacon Academy of Nevada,32,7360 W. Flamingo Road,Las Vegas,NV,89147,32,32003,Clark County,21,36.11554,-115.252321,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3203,32042,32009,2024-2025
-115.2285501,36.23315872,55009,320000100759,3200001,Quest Academy Northwest,32,4025 N. Rancho Dr.,Las Vegas,NV,89130,32,32003,Clark County,11,36.233164,-115.228562,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3204,32003,32003,2024-2025
-115.0663672,36.07705572,55010,320000100781,3200001,Silver Sands Montessori,32,1841 Whitney Mesa Drive,Henderson,NV,89014,32,32003,Clark County,11,36.077061,-115.066379,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3201,32029,32005,2024-2025
-115.7743415,40.82520427,55011,320000100784,3200001,Elko Institute for Academic Achievement,32,905 W Main Street,Elko,NV,89801,32,32007,Elko County,33,40.82521,-115.774354,21220,"Elko, NV",2,N,N,3202,32033,32019,2024-2025
-119.719399,39.5409257,55012,320000100800,3200001,Alpine Academy High School,32,1421 Pullman Dr,Sparks,NV,89434,32,32031,Washoe County,21,39.540931,-119.719412,39900,"Reno, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32030,32013,2024-2025
-118.7887532,39.47723063,55013,320000100817,3200001,Oasis Academy,32,920 West Williams Avenue Ste 100,Fallon,NV,89406,32,32001,Churchill County,33,39.477236,-118.788766,21980,"Fallon, NV",2,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32038,32017,2024-2025
-115.2904881,36.19802272,55014,320000100818,3200001,Discovery Charter School HillPointe,32,8941 Hillpointe Road,Las Vegas,NV,89134,32,32003,Clark County,11,36.198028,-115.2905,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3203,32034,32006,2024-2025
-115.2751911,36.28853371,55015,320000100820,3200001,Somerset Academy Sky Pointe,32,7058 Sky Pointe Drive,Las Vegas,NV,89131,32,32003,Clark County,11,36.288539,-115.275203,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3204,32004,32018,2024-2025
-115.2792391,36.28134571,55016,320000100821,3200001,Imagine School Mountain View,32,6610 Grand Montecito Pkwy,Las Vegas,NV,89149,32,32003,Clark County,11,36.281351,-115.279251,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3204,32004,32018,2024-2025
-114.9801892,36.04548872,55017,320000100825,3200001,Pinecrest Academy of Nevada Cadence,32,225 Grand Cadence Dr.,Henderson,NV,89015,32,32003,Clark County,11,36.045494,-114.980201,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3201,32022,32005,2024-2025
-119.817348,39.52546471,55018,320000100826,3200001,Honors Academy of Literature,32,195 N. Arlington Avenue,Reno,NV,89501,32,32031,Washoe County,11,39.52547,-119.817361,39900,"Reno, NV",1,456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",3202,32024,32013,2024-2025
-115.3699671,36.16814573,55019,320000100830,3200001,Doral Academy Red Rock,32,610 Crossbridge Dr.,Las Vegas,NV,89138,32,32003,Clark County,11,36.168151,-115.369979,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3203,32036,32019,2024-2025
-114.8585379,39.25049736,55020,320000100833,3200001,Learning Bridge,32,1400 E 13th Street,Ely,NV,89301,32,32033,White Pine County,41,39.250503,-114.85855,N,N,0,N,N,3202,32033,32019,2024-2025
-115.1313682,36.26063071,55021,320000100842,3200001,Freedom Classical Academy K-8,32,777 E. Ann Rd,North Las Vegas,NV,89031,32,32003,Clark County,11,36.260636,-115.13138,29820,"Las Vegas-Henderson-North Las Vegas, NV",1,332,"Las Vegas-Henderson, NV",3204,32017,32001,2024-2025
